Timestamp,RSS (MB),Shared (MB),User CPU Time (s),System CPU Time (s),Voluntary Context Switches,Involuntary Context Switches
1732300577.239145,35.61328125,27.7734375,60.75,0.33,192,599
1732300577.2893279,35.61328125,27.7734375,60.8,0.33,192,600
1732300577.339498,35.61328125,27.7734375,60.85,0.33,192,600
1732300577.389553,35.61328125,27.7734375,60.9,0.33,192,601
1732300577.4396555,35.61328125,27.7734375,60.95,0.33,192,602
1732300577.4896355,35.61328125,27.7734375,61.0,0.33,192,603
1732300577.5399196,35.61328125,27.7734375,61.05,0.33,192,605
1732300577.5900507,35.61328125,27.7734375,61.1,0.33,192,606
1732300577.6401284,35.61328125,27.7734375,61.15,0.33,192,607
1732300577.6902344,35.61328125,27.7734375,61.2,0.33,192,608
1732300577.7403805,35.61328125,27.7734375,61.25,0.33,192,608
1732300577.7903998,35.61328125,27.7734375,61.3,0.33,192,609
1732300577.8406408,35.61328125,27.7734375,61.35,0.33,192,610
1732300577.890771,35.61328125,27.7734375,61.4,0.33,192,611
1732300577.9409578,35.61328125,27.7734375,61.46,0.33,192,612
1732300577.9909933,35.61328125,27.7734375,61.5,0.33,192,613
1732300578.0411448,35.61328125,27.7734375,61.56,0.33,192,614
1732300578.091129,35.61328125,27.7734375,61.6,0.33,192,614
1732300578.141328,35.61328125,27.7734375,61.66,0.33,192,617
1732300578.191476,35.61328125,27.7734375,61.71,0.33,192,618
1732300578.2415626,35.61328125,27.7734375,61.76,0.33,192,619
1732300578.2917233,35.61328125,27.7734375,61.81,0.33,192,620
1732300578.3418643,35.61328125,27.7734375,61.86,0.33,192,621
1732300578.3920536,35.61328125,27.7734375,61.91,0.33,192,621
1732300578.4420798,35.61328125,27.7734375,61.96,0.33,192,623
1732300578.492263,35.61328125,27.7734375,62.01,0.33,192,624
1732300578.5424004,35.61328125,27.7734375,62.06,0.33,192,626
1732300578.5925264,35.61328125,27.7734375,62.1,0.33,192,627
1732300578.6426046,35.61328125,27.7734375,62.16,0.33,192,628
1732300578.6927948,35.61328125,27.7734375,62.2,0.34,192,629
1732300578.742895,35.61328125,27.7734375,62.25,0.34,192,629
1732300578.7929795,35.61328125,27.7734375,62.31,0.34,192,630
1732300578.8431432,35.61328125,27.7734375,62.35,0.34,192,631
1732300578.8933172,35.61328125,27.7734375,62.4,0.35,192,632
1732300578.9434023,35.61328125,27.7734375,62.45,0.35,192,633
1732300578.9935167,35.61328125,27.7734375,62.5,0.35,192,634
1732300579.0435953,35.61328125,27.7734375,62.55,0.35,192,635
1732300579.0938017,35.61328125,27.7734375,62.6,0.35,192,635
1732300579.1438901,35.61328125,27.7734375,62.65,0.35,192,636
1732300579.1940084,35.61328125,27.7734375,62.7,0.35,192,637
1732300579.244087,35.61328125,27.7734375,62.75,0.35,192,638
1732300579.294225,35.61328125,27.7734375,62.8,0.35,192,639
1732300579.3443763,35.61328125,27.7734375,62.85,0.35,192,640
1732300579.3944783,35.61328125,27.7734375,62.9,0.35,192,641
1732300579.444681,35.61328125,27.7734375,62.95,0.35,192,641
1732300579.4947445,35.61328125,27.7734375,63.0,0.35,192,642
1732300579.544932,35.61328125,27.7734375,63.05,0.35,192,643
1732300579.5950086,35.61328125,27.7734375,63.1,0.35,192,644
1732300579.6451252,35.61328125,27.7734375,63.16,0.35,192,645
1732300579.6952295,35.61328125,27.7734375,63.2,0.35,192,646
1732300579.745352,35.61328125,27.7734375,63.25,0.35,192,647
1732300579.795392,35.61328125,27.7734375,63.3,0.35,192,647
1732300579.8455606,35.61328125,27.7734375,63.35,0.35,192,648
1732300579.8956954,35.61328125,27.7734375,63.4,0.35,192,649
1732300579.9458125,35.61328125,27.7734375,63.45,0.35,192,650
1732300579.9959545,35.61328125,27.7734375,63.5,0.35,192,651
1732300580.046053,35.61328125,27.7734375,63.55,0.35,192,652
1732300580.096259,35.61328125,27.7734375,63.6,0.35,192,652
1732300580.146179,35.61328125,27.7734375,63.65,0.35,192,653
1732300580.1964831,35.61328125,27.7734375,63.7,0.35,192,654
1732300580.2465165,35.61328125,27.7734375,63.75,0.35,192,655
1732300580.296733,35.61328125,27.7734375,63.8,0.35,192,656
1732300580.3467996,35.61328125,27.7734375,63.85,0.35,192,657
1732300580.3970551,35.61328125,27.7734375,63.9,0.35,192,658
1732300580.44703,35.61328125,27.7734375,63.95,0.35,192,659
1732300580.4972873,35.61328125,27.7734375,64.0,0.36,192,659
1732300580.5475445,35.61328125,27.7734375,64.05,0.36,192,661
1732300580.5975637,35.61328125,27.7734375,64.1,0.36,192,662
1732300580.647715,35.61328125,27.7734375,64.15,0.36,192,663
1732300580.697656,35.61328125,27.7734375,64.2,0.36,192,664
1732300580.7477973,35.61328125,27.7734375,64.24,0.36,192,665
1732300580.7980058,35.61328125,27.7734375,64.3,0.36,192,665
1732300580.848193,35.61328125,27.7734375,64.34,0.36,192,666
1732300580.8983278,35.61328125,27.7734375,64.4,0.36,192,667
1732300580.9484806,35.61328125,27.7734375,64.44,0.36,192,668
